excel_name,orcid,api_name,overall_score,finance_publications
MIRJANA IVANOVIC,0000-0003-1946-0384,Mirjana Ivanović,75.0,20
Andreas Gregoriades,0000-0002-7422-1514,Andreas Gregoriades,75.0,15
Alessia Paccagnini,0000-0002-2421-7242,Alessia Paccagnini,75.0,20
Simon Trimborn,0000-0003-3745-4164,Simon Trimborn,75.0,20
Jelena Poljašević,0000-0002-6891-4875,Jelena Poljašević,75.0,17
Martina Solenički,0000-0001-6380-1700,Martina Solenički,75.0,4
Ana Ivanisevic Hernaus,0000-0003-0370-5543,Ana Ivanišević Hernaus,75.0,16
Paraskevi Tsoutsa,0000-0003-0019-1145,Paraskevi Tsoutsa,75.0,15
Mesut Karakaş,0000-0002-3695-2105,Mesut Karakaş,75.0,17
Ioana Birlan,0009-0007-7097-3341,Ioana Bîrlan,75.0,6
Vlad Bolovăneanu,0009-0000-3660-4410,Vlad Bolovăneanu,75.0,2
Emmanuel Eyiah-Donkor,0000-0003-1323-1716,Emmanuel Eyiah-Donkor,75.0,11
Khawla Bouafia,0000-0001-7653-2730,Khawla Bouafia,75.0,13
Ali Deran,0000-0001-5377-6740,Ali Deran,75.0,12
Yosi KELLER,0000-0002-2876-2790,Yosi Keller,73.2,20
Matthias Fengler,0000-0002-9862-9258,Matthias R. Fengler,70.8,18
